title,genre,rating,voting,duration,storyline
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"fantasy, animation",7.2,8.8K,1h 44m,"Tanjiro undergoes rigorous training with the Stone Hashira, Himejima, in his quest to become a Hashira. Meanwhile, Muzan continues to search for Nezuko and Ubuyashiki."
Der Buchspazierer,family,7.2,524,1h 38m,"The 70-year old Carl Kollhoff works in a little bookshop in a small town, where he wraps up books to deliver them by foot. One day the 9-year old girl Schascha joins him on his delivering-tours. She calls him the ""Buchspazierer""."
Der Deserteur,war,8.7,29,1h 33m,"1945: The last days of the war. In a remote mountain hut, Anton, a deserted SS man, and Hannah, a Jewish woman, meet. From distrust, feelings develop between the two. But the danger is not over yet. For the two, the war is far from over."
Descendants: The Rise of Red,"fantasy, family, music, musical",4.7,7.3K,1h 31m,"After the Queen of Hearts incites a coup in Auradon, her rebellious daughter, Red, and Cinderella's perfectionist daughter, Chloe, must team up and travel in time to undo the traumatic event that drove a young Queen of Hearts to villainy."
Despicable Me 4,"sci-fi, comedy, family, crime, adventure, animation",6.2,69K,1h 34m,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run."
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,"history, war",8.2,674,2h 54m,"A Historical Movie Trilogy available in Hindi/Marathi on the life of Chhatrapati Sambhaji Maharaj. Part 1 highlights the attack on Burhanpur, Rajyabhishek and the Navy battle of Janjira."
Die Alone,"sci-fi, mystery",5.8,4K,1h 30m,Tells the story of a young man who has amnesia. He bands together with a rugged survivalist in a zombie-like outbreak to find his girlfriend.
Dinner Party Diaries with José Andrés,reality-tv,7.8,77,,"Celebrity chef José Andrés welcomes Jamie Lee Curtis, Bryan Cranston and O'Shea Jackson Jr. to cook Spanish dishes and share uplifting stories in a Prime Video special highlighting togetherness and hope through food."
Dirty Angels,"action, war",4.4,4.2K,1h 44m,It centers on a group of female soldiers who disguise themselves as medics to rescue a group of teenagers caught between ISIS and the forces of the Taliban.
Dirty Boy,mystery,7.8,36,1h 38m,"Raised in an oppressive cult, a reclusive schizophrenic discovers that he's being framed by cult leaders for a series of ritualistic murders and must prove his innocence by saving their next victim and destroying the evil sect."
Distant,"sci-fi, comedy, thriller, drama",5.7,3.9K,1h 27m,"It follows an asteroid miner who, after crash-landing on an alien planet, must make his way across the harsh terrain, running out of oxygen, hunted by strange creatures, to the only other survivor."
Do Patti,mystery,6.4,69K,2h 6m,Twin sisters harbouring deep secrets and a determined police inspector seeking to uncover the truth in an attempted murder case.
Doc Holliday 2,western,6.1,12,,The adventures of Doc Holliday continue as he finds himself on trial for the murder of a missing Faro player.
Doc Holliday 3,western,5.0,10,,Doc Holliday retires to Colorado after a long battle with tuberculosis and finds himself in one final adventure to save a young man from ruthless outlaws.
Don't Move,horror,5.8,41K,1h 32m,"A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down."
Dongeng Sang Kancil,musical,6.6,227,1h 39m,"A mouse-deer, Sang Kancil, small in figure but cunning and wise. With his intelligence, Sang Kancil often escapes dangers and sometimes helps other animals that are in trouble with bigger and more fierce animals."
Doraemon the Movie: Nobita's Earth Symphony,"family, music, animation",6.6,1.6K,1h 55m,"Doraemon and friends go on an adventure to meet new buddies, connect to people with music, and save the world from a crisis."
Dragonkeeper,animation,5.7,1.8K,1h 38m,"The fate of ancient China rests on the shoulders of one young girl, who must find the last remaining dragon egg and fulfill her destiny."
Drava se ne predaje,war,7.4,11,1h 16m,The story of the Yugoslav warship Drava and its journey during World War II.
Dreams (Sex Love),romance,7.6,844,1h 50m,"Johanne documents her intense crush on her french teacher. Her mother, grandmother end up reading these intimate writings. They're both horrified by the contents but taken by the powerful writing and story. Johanne navigates romantic ideals vs reality, exploring emotions of self-discovery, love, sexuality."
Drive-Away Dolls,"action, comedy",5.4,24K,1h 24m,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals."
Dune: Part Two,"action, sci-fi, adventure, drama",8.5,646K,2h 46m,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
